Restaurant Name,Cuisine Type,Address,City,Province/State,Postal/Zip Code,Phone Number,Price Range (per person),Average Rating (out of 5),Number of Reviews
The Keg,Steakhouse,123 Main St,Toronto,Ontario,M5V 1J1,(416) 555-1234,$40-$60,4.5,500
Sushi Garden,Japanese,789 5th St,Vancouver,British Columbia,V5T 1C6,(604) 555-9012,$20-$30,4.2,300
La Belle Province,Fast Food,987 Rue Sainte-Catherine,Montreal,Quebec,H2L 2G2,(514) 555-3456,$5-$10,3.5,200
Tres Carnales Taqueria,Mexican,10119 100a St,Edmonton,Alberta,T5J 0R5,(780) 555-2345,$15-$25,4.6,150
Le Garde-Manger,French,408 Rue Saint-Francois-Xavier,Montreal,Quebec,H2Y 2S9,(514) 555-7890,$40-$60,4.8,100
The Fish Counter,Seafood,3825 Main St,Vancouver,British Columbia,V5V 3P1,(604) 555-5678,$20-$30,4.4,400
Momofuku Noodle Bar,Asian Fusion,190 University Ave,Toronto,Ontario,M5H 0A3,(416) 555-9012,$20-$30,4.7,250
The Green Olive,Mediterranean,123 Main St,Toronto,Ontario,M5V 3V5,(416) 555-1234,$30-$50,4.2,350
The Blue Crab,Seafood,456 7th Ave,Vancouver,British Columbia,V5L 1C8,(647) 123-4567,$20-$40,4.3,125
The Red Tomato,Italian,789 5th St,Montreal,Quebec,H3C 1T4,(604) 555-7890,$10-$30,4.5,586
The Yellow Submarine,Sandwiches,987 Rue Sainte-Catherine,Quebec,Quebec,G1R 3Y7,(780) 555-4321,$20-$30,2.5,369
The Purple Eggplant,Italian,321 Magnolia Blvd,Calgary,Alberta,T2V 0X2,(514) 555-2468,$5-$10,5.0,756
The Orange Peel,Juice Bar,10119 100a St,Edmonton,Alberta,T5J 0E8,(902) 555-1357,$25-$65,3.5,248
The White Rabbit,French,408 Rue Saint-Francois-Xavier,Montreal,Quebec,H2Y 2S9,(613) 555-8642,$15-$35,4.6,359
The Black Sheep,Gastropub,3825 Main St,Vancouver,British Columbia,V5V 3N8,(306) 555-9701,$20-$40,4.1,300
The Golden Goose,French,1015 South Figueroa St,Toronto,Ontario,M5E 1N1,(905) 555-2233,$10-$30,3.7,250
The Silver Spoon,Italian,190 University Ave,Ottawa,Ontario,K1N 6N5,(902) 555-8712,$30-$50,4.9,550
The Rusty Bucket,Pub Food,5678 Yonge St,Toronto,Ontario,M2M 3V2,(778) 555-6677,$20-$30,4.4,630
The Copper Kettle,British,987 Queen St,Ottawa,Ontario,K1P 5E4,(306) 555-4433,$5-$10,4.6,120
The Wooden Spoon,Comfort Food,123 Main St,Vancouver,British Columbia,V6A 2S5,(902) 555-6654,$30-$60,4.0,348
The Brick Oven,Pizza,456 7th Ave,Calgary,Alberta,T2G 0H5,(613) 555-9187,$15-25,1.5,751
The Stone Grill,Steakhouse,789 5th St,Quebec,Quebec,G1R 3Z9,(416) 555-3456,$30-50,2.6,150
The Iron Chef,Japanese,987 Rue Sainte-Catherine,Montreal,Quebec,H2L 2G6,(587) 555-9887,$5-15,4.3,350
The Spice Box,Indian,321 Magnolia Blvd,Edmonton,Alberta,T6R 0S4,(450) 555-6789,$10-$20,2.3,450
The Sweet Spot,Desserts,10119 100a St.,Vancouver,British Columbia,V6Z 1N6,(902) 555-9812,$40-$60,4.5,930
The Bitter End,Bar Food,408 Rue Saint-Francois-Xavier,Quebec,Quebec,G1K 4W8,(519) 555-7261,$10-$20,4.0,100
The Funky Chicken,Southern,3825 Main St,Toronto,Ontario,M4C 1J6,(905) 555-8876,$20-$30,4.2,120
The Hot Potato,French,1015 South Figueroa St,Vancouver,British Columbia,V6Z 1N6,(705) 555-4312,$5-$10,3.5,300
The Cold Plate,Salad,190 University Ave,Montreal,Quebec,H3A 2A7,(613) 555-1987,$30-$50,4.3,400
The Toasty Bun,Burgers,5678 Yonge St,Toronto,Ontario,M2N 5S2,(902) 555-4123,$15-$25,4.6,125
The Smokin' Grill,BBQ,987 Queen St,Ottawa,Ontario,K1P 5C7,(902) 555-4321,$40-$60,4.8,150
The Fresh Catch,Seafood,123 Main St,Montreal,Quebec,H2Y 1B6,(416) 555-5678,$20-$30,4.4,800
The Juicy Burger,Burgers,456 7th Ave,Vancouver,British Columbia,V5T 1N8,(613) 555-2222,$10-$20,4.1,633
The Crispy Crunch,Comfort Food,789 5th St,Calgary,Alberta,T2G 1Y9,(604) 555-9876,$20-$30,4.7,500
Ay Caramba,Mexican,"123 Main St, Toronto, ON",Toronto,Ontario,M4C 1S5,(902) 555-4123,$10-$15,4.5,174
Blue Canoe Waterfront Restaurant,Seafood,"386 Front St, New Westminster, BC",New Westminster,British Columbia,V3L 1A6,(902) 555-4321,$11-$19,4.0,183
Burrito Bandidos,Mexican,"1015 Main St, Vancouver, BC",Vancouver,British Columbia,V6A 4L4,(416) 555-5678,$12-$20,4.2,368
Cafe du Monde,French,"850 Rue Saint Jean, Quebec City, QC",Quebec,Quebec,G1R 1R3,(613) 555-2222,$13-$22,3.5,243
Catch 122 Cafe Bistro,Canadian,"122 W Hastings St, Vancouver, BC",Vancouver,British Columbia,V6B 1G8,(514) 555-3456,$40-$60,4.6,240
Coast,Seafood,"1257 Hamilton St, Vancouver, BC",Vancouver,British Columbia,V6B 6K3,(905) 555-6789,$20-$30,4.8,217
Di Beppe Restaurant,Italian,"8 W Cordova St, Vancouver, BC",Vancouver,British Columbia,V6B 1C9,(506) 555-0123,$5-$10,4.4,207
El Catrin,Mexican,"18 Tank House Lane, Toronto, ON",Toronto,Ontario,M5A 3C4,(613) 555-6543,$15-$25,4.1,315
Farmer's Apprentice,Canadian,"1535 W 6th Ave, Vancouver, BC",Vancouver,British Columbia,V6J 1R1,(902) 555-2222,$40-$60,4.7,178
Fishbone By The Lake,Seafood,"235 Queen St W, Toronto, ON",Toronto,Ontario,M5V 1Z4,(780) 555-5432,$20-$30,4.2,178
Gotham Steakhouse & Bar,Steakhouse,"615 Seymour St, Vancouver, BC",Vancouver,British Columbia,V6B 3K3,(514) 555-8765,$20-$30,4.3,299
Grand Electric,Mexican,"1330 Queen St W, Toronto, ON",Toronto,Ontario,M6K 1L4,(902) 555-1234,$30-$50,4.5,401
Hawksworth Restaurant,Canadian,"801 W Georgia St, Vancouver, BC",Vancouver,British Columbia,V6C 1P7,(705) 555-6789,$20-$40,2.5,372
Honest Weight,Seafood,"277 Front St W, Toronto, ON",Toronto,Ontario,M5V 2X4,(416) 555-9876,$10-$30,5.0,307
Jolly Roger Seafood House,Seafood,"1511 Johnson St, Victoria, BC",Victoria,British Columbia,V8W 1M7,(519) 555-4321,$20-$30,3.5,389
